Name,HR,R,RBI,SB,AVG,cluster_num
Cedric Mullins II,4,21,15,5,0.23,1
Jasrado Chisholm,7,22,21,4,0.206,1
Kurt Suzuki,9,30,32,1,0.25,1
Blaze Tom,5,22,20,3,0.219,1
Garrett Hampson,7,43,32,13,0.257,1
Christian Arroyo,7,28,27,1,0.252,1
Omar Narvaez,8,31,32,0,0.242,1
Brian Goodwin,7,26,26,4,0.227,1
Edwin Rios,7,21,24,1,0.222,1
Daniel Johnson Jr.,6,26,25,4,0.241,1
Johan Camargo,5,21,22,0,0.245,1
Max Stassi,12,39,39,0,0.219,1
Matt Kemp,7,21,24,0,0.233,1
Yonathan Daza,2,23,21,4,0.283,1
Curt Casali,5,18,19,1,0.225,1
Jon Berti,6,46,30,15,0.24,1
Chance Sisco,9,33,30,0,0.225,1
Francisco Mejia,7,23,26,1,0.24,1
Jarren Duran,3,28,20,7,0.257,1
Alex Avila,10,32,32,1,0.207,1
Elias Diaz,7,38,39,1,0.256,1
Josh Reddick,8,41,38,3,0.245,1
Matt Beaty,4,21,21,1,0.246,1
Andrew Vaughn,9,36,37,1,0.247,1
Victor Reyes,5,39,31,10,0.263,1
Jonathan Villar,7,39,27,16,0.24,1
Jake Lamb,8,28,27,1,0.218,1
Adam Haseley,6,32,30,3,0.251,1
Ryan Zimmerman,5,19,20,0,0.249,1
Ronald Guzman,5,17,17,1,0.229,1
Michael Chavis,8,26,26,2,0.232,1
Brett Gardner,7,35,26,5,0.233,1
Aledmys Diaz,6,22,23,1,0.246,1
Nick Markakis,4,38,34,1,0.257,1
Darin Ruf,5,18,19,1,0.23,1
Andy Young,6,20,20,1,0.229,1
Wilson Ramos,7,31,33,0,0.259,1
David Bote,10,38,38,3,0.231,1
Aristides Aquino,8,20,21,2,0.224,1
Daniel Robertson,5,26,23,2,0.233,1
Josh VanMeter,4,18,16,3,0.237,1
Kevin Pillar,9,39,38,7,0.255,1
Heliot Ramos,4,18,17,2,0.248,1
Jake Cave,6,26,23,1,0.238,1
Yan Gomes,11,35,41,1,0.238,1
Todd Frazier,9,30,32,3,0.225,1
Pedro Severino,8,28,27,1,0.237,1
Yusniel Diaz,9,37,32,3,0.238,1
Jay Bruce,7,16,18,0,0.219,1
Tyler Stephenson,6,22,23,0,0.243,1
Ryan Jeffers,11,36,37,0,0.241,1
Josh Rojas,5,31,24,8,0.247,1
Marwin Gonzalez,9,38,35,1,0.251,1
Kevin Plawecki,4,20,18,1,0.244,1
Kyle Higashioka,7,18,21,0,0.215,1
Justin Williams,4,18,18,1,0.238,1
Stephen Vogt,5,20,21,1,0.229,1
Luis Garcia,5,32,31,4,0.262,1
Andrew Knizner,5,21,22,1,0.245,1
Daulton Varsho,10,40,36,7,0.244,1
Jason Castro,8,28,28,1,0.205,1
Kyle Farmer,9,39,40,3,0.234,1
Josh Harrison,5,23,22,3,0.245,1
Victor Caratini,5,24,25,1,0.237,1
Chas McCormick,4,22,19,3,0.238,1
Austin Barnes,5,26,22,3,0.226,1
Manny Pina,6,21,25,1,0.232,1
Dom Nunez,7,24,25,2,0.212,1
Jo Adell,7,26,25,2,0.23,1
Leury Garcia,3,20,16,4,0.257,1
Hanser Alberto,3,24,25,2,0.269,1
Jordan Luplow,8,29,28,3,0.233,1
Ha-seong Kim,9,38,37,6,0.245,1
Luis Torrens,7,29,30,1,0.238,1
Jorge Alfaro,9,33,34,3,0.234,1
Jake Bauers,8,33,29,5,0.234,1
Chad Pinder,11,38,38,1,0.231,1
Ender Inciarte,3,27,19,7,0.249,1
Mark Canha,21,75,68,4,0.242,0
Adam Duvall,24,57,70,2,0.219,0
Brandon Belt,19,70,66,3,0.245,0
Jeff McNeil,17,83,78,7,0.281,0
Luis Robert,25,84,78,20,0.249,0
Yoan Moncada,23,84,76,10,0.253,0
Corey Dickerson,16,62,66,5,0.267,0
Ryan Mountcastle,19,62,65,3,0.265,0
Trey Mancini,22,67,66,1,0.265,0
Austin Meadows,21,66,66,11,0.254,0
Alex Verdugo,14,74,65,6,0.28,0
Starlin Castro,17,60,68,2,0.274,0
Mitch Haniger,24,72,71,5,0.246,0
Yasmani Grandal,25,72,72,2,0.231,0
Aaron Hicks,23,80,68,6,0.242,0
Ketel Marte,19,86,81,8,0.287,0
Ryan McMahon,21,68,71,3,0.241,0
Justin Turner,20,77,76,2,0.282,0
Jesse Winker,22,69,68,2,0.269,0
Charlie Blackmon,22,80,81,6,0.289,0
Josh Donaldson,26,82,73,3,0.246,0
C.J. Cron,28,72,83,1,0.27,0
Kyle Schwarber,30,73,84,3,0.242,0
DJ LeMahieu,19,89,76,5,0.297,0
Shohei Ohtani,21,73,63,14,0.264,0
Josh Bell,27,78,85,2,0.262,0
Colin Moran,18,61,71,1,0.255,0
Eddie Rosario,26,67,81,5,0.277,0
Joey Votto,20,86,77,3,0.257,0
Tommy Pham,18,77,65,17,0.264,0
Jean Segura,13,73,66,13,0.276,0
J.T. Realmuto,24,75,76,8,0.269,0
Andrew McCutchen,22,78,74,8,0.254,0
Brandon Lowe,26,74,78,6,0.248,0
Max Kepler,26,83,78,5,0.248,0
Adalberto Mondesi,17,88,57,52,0.236,0
Jeimer Candelario,18,68,65,3,0.239,0
Alec Bohm,16,70,69,5,0.265,0
Nick Senzel,17,74,63,16,0.254,0
Didi Gregorius,24,74,82,8,0.262,0
Cavan Biggio,21,83,68,10,0.235,0
Joc Pederson,27,72,81,3,0.231,0
Jesus Aguilar,20,59,67,0,0.248,0
Whit Merrifield,15,82,74,24,0.282,0
Anthony Santander,26,73,77,4,0.257,0
Jonathan Schoop,22,62,70,2,0.262,0
Hunter Dozier,22,74,77,5,0.246,0
Nick Ahmed,17,73,70,8,0.241,0
Victor Robles,16,84,65,25,0.249,0
Ke'Bryan Hayes,15,69,66,9,0.266,0
David Peralta,15,66,64,2,0.269,0
Ramon Laureano,22,81,69,12,0.245,0
Yuli Gurriel,17,74,77,5,0.267,0
Starling Marte,17,80,66,27,0.276,0
Paul DeJong,27,79,84,5,0.246,0
Evan White,21,67,68,4,0.229,0
Justin Upton,26,73,74,4,0.231,0
Dansby Swanson,21,83,77,11,0.257,0
Clint Frazier,22,73,67,6,0.244,0
Tyler O'Neill,25,69,73,6,0.231,0
Lourdes Gurriel Jr.,24,76,78,7,0.264,0
Eduardo Escobar,21,73,80,3,0.257,0
Mike Yastrzemski,22,82,77,6,0.239,0
Hunter Renfroe,26,60,66,3,0.233,0
Eric Hosmer,21,76,80,6,0.261,0
Jackie Bradley Jr.,18,67,65,10,0.23,0
Salvador Perez,28,60,84,1,0.257,0
Kole Calhoun,20,61,63,3,0.243,0
Kyle Seager,24,70,77,4,0.239,0
Miguel Cabrera,16,64,67,1,0.258,0
Dylan Carlson,17,71,66,9,0.244,0
Austin Riley,25,71,81,1,0.248,0
Byron Buxton,25,81,70,20,0.245,0
Bryan Reynolds,17,69,70,5,0.266,0
Willy Adames,18,67,65,6,0.244,0
